idade;est_civil;endereco;renda;carro;escolaridade;t_empr_atual;aposentado;satisf_trabal;sexo
61;0;27;11;5,2;3;12;1;2;f
25;1;3;20;9,6;1;9;0;2;f
35;0;11;116;58,6;5;5;0;3;m
60;0;37;43;21,4;1;8;0;2;m
37;0;9;54;26,4;5;11;0;5;m
38;0;8;76;37,1;3;13;0;4;f
46;0;7;36;18;2;13;0;2;f
43;0;0;56;28,4;4;3;0;4;m
40;1;18;50;24;4;5;0;3;m
34;0;14;22;11;3;5;0;2;f
40;1;0;33;16,7;5;3;0;2;m
44;1;11;41;20;5;5;0;1;f
28;1;5;41;21,5;2;6;0;1;m
47;1;8;65;31,9;4;11;0;4;m
23;1;2;25;12,3;3;1;0;1;m
51;1;4;33;16,3;2;1;0;2;m
39;1;0;23;11,8;1;2;0;4;m
54;1;33;61;30,1;1;11;0;5;f
54;0;21;314;76,2;3;24;0;5;f
28;0;6;42;20,8;2;8;0;3;m
26;1;6;26;12,9;5;0;0;1;f
42;1;22;58;28,9;5;2;0;2;f
44;1;14;40;19,3;1;7;0;4;f
41;1;1;43;20;3;17;0;5;f
40;1;8;33;16,5;1;8;0;4;m
39;1;15;52;26,7;2;12;0;4;f
35;0;8;57;27,5;3;6;0;4;m
45;1;17;143;70,7;3;7;0;4;f
48;1;17;56;27,8;4;18;0;5;f
71;0;50;69;34,8;1;21;0;3;f
31;0;11;34;17,2;2;4;0;4;m
50;1;16;346;78;5;15;0;1;m
55;0;13;167;83,2;5;25;0;5;m
32;1;7;27;12,8;2;0;0;1;m
51;0;15;126;62,6;2;30;0;4;f
52;0;18;46;23,4;2;23;0;4;m
46;0;7;33;15,9;3;0;0;3;f
49;0;30;349;77,8;3;27;0;4;m
48;0;23;40;19,4;1;0;0;1;m
23;0;0;20;10,5;4;0;0;1;f
52;1;24;73;37,1;1;19;0;4;f
50;0;19;66;33,9;3;28;0;5;m
60;1;35;102;49,8;2;23;0;5;f
21;0;1;14;7;2;0;0;2;m
36;1;1;45;21,9;5;8;0;3;m
49;0;8;50;25,9;1;8;0;3;m
48;1;25;123;60,9;4;18;0;3;m
25;0;4;64;32,4;3;4;0;3;f
35;1;4;28;13,5;2;4;0;2;f
49;0;25;102;51,6;5;1;0;1;f
47;1;11;107;53,6;4;22;0;5;m
27;0;5;26;12,9;2;8;0;3;f
34;1;11;24;11,9;2;1;0;2;f
36;1;17;30;15,2;1;6;0;1;f
50;1;22;37;18,3;1;6;0;4;m
29;0;2;28;13,5;5;1;0;4;f
33;1;13;21;10,5;1;0;0;3;m
42;0;13;26;13,1;1;7;0;3;m
33;1;13;23;11,9;1;5;0;3;m
30;1;6;32;16;3;9;0;1;m
51;0;32;146;73,9;1;26;0;5;m
27;0;3;28;14;3;0;0;1;m
29;0;7;16;8,1;3;5;0;4;m
32;0;3;37;18,9;4;5;0;1;m
44;1;5;31;15,3;1;9;0;5;m
34;1;15;112;56,9;4;10;0;5;m
20;1;1;32;16,2;3;0;0;1;f
49;0;17;78;39,6;1;17;0;3;m
34;0;14;100;50;4;5;0;5;f
34;1;9;30;14,9;2;12;0;3;m
31;0;10;51;24,7;2;10;0;5;f
39;1;20;238;73,6;4;15;0;5;f
33;1;14;42;20,8;4;0;0;3;m
54;1;29;69;35,2;1;23;0;2;f
31;0;5;60;29,3;4;4;0;2;f
34;0;6;71;35,3;1;12;0;3;f
29;1;2;28;14,3;4;2;0;4;f
24;0;2;15;7,2;1;3;0;4;m
49;1;22;154;76,1;2;19;0;5;f
19;1;0;14;7,1;1;1;0;4;f
49;0;5;35;17,7;1;12;0;5;f
40;0;16;50;24,8;4;9;0;2;m
28;0;0;74;37,4;5;0;0;1;f
36;1;6;130;63,8;3;11;0;5;f
46;0;6;46;22,8;4;15;0;5;m
24;1;3;25;12,6;3;1;0;2;f
38;1;3;78;39;3;9;0;3;m
31;0;5;28;13,9;3;7;0;5;m
37;0;7;58;29,4;2;10;0;2;m
58;0;1;17;8,4;5;4;1;3;m
37;0;6;31;15,4;5;8;0;3;f
73;0;25;11;5,3;1;35;1;3;m
44;0;15;27;13,3;2;11;0;3;f
66;0;1;68;34,7;2;14;0;3;f
50;0;4;70;34,6;2;11;0;4;f
30;0;10;25;12,6;4;0;0;2;m
41;0;7;28;13,6;3;11;0;1;f
57;0;13;143;72;1;33;0;5;m
71;0;11;147;74,2;4;37;1;4;m
53;1;26;81;39,5;2;17;0;4;m
38;0;15;56;27,1;2;14;0;3;f
46;0;17;114;57,1;4;13;0;2;m
61;0;32;29;14,8;2;4;0;1;f
48;1;0;28;13,8;1;3;0;3;f
35;1;14;19;9,3;5;8;0;5;f
55;1;1;345;77,6;4;27;0;4;f
51;0;10;143;72,7;2;23;0;3;m
45;0;10;61;30,8;2;23;0;2;f
50;1;29;86;42,1;3;14;0;4;m
36;0;11;49;24,3;1;8;0;4;f
44;1;13;49;24,4;1;10;0;4;f
38;0;11;25;12,5;2;1;0;1;m
50;0;8;61;30,7;4;10;0;4;f
37;0;9;57;28;2;9;0;4;m
48;0;11;201;73,7;4;25;0;1;f
46;1;5;35;17,7;1;6;0;1;m
51;0;10;51;26,1;3;2;0;1;m
22;1;2;21;10,7;4;0;0;1;f
72;0;20;17;8,5;1;25;1;5;m
61;0;12;23;11,7;3;14;1;3;f
40;1;19;29;14,2;3;3;0;3;m
49;0;27;39;20;1;20;0;4;m
43;1;15;91;46,5;2;24;0;4;m
26;0;1;31;15,7;1;8;0;4;f
41;1;18;152;75,7;1;22;0;2;f
44;1;9;40;19,5;1;12;0;3;m
27;0;4;102;49,2;4;0;0;1;m
48;0;16;98;48,6;4;2;0;2;f
44;1;19;39;19,7;3;13;0;2;f
53;0;16;254;79,4;4;12;0;4;f
41;0;14;71;34,6;4;9;0;4;f
63;0;23;118;58,1;2;38;1;3;m
29;1;3;42;19,8;1;10;0;5;m
39;0;6;81;39,8;2;16;0;3;f
39;1;1;26;13,1;3;8;0;3;f
36;0;15;87;43,8;4;11;0;3;m
28;1;4;68;34,2;1;8;0;5;m
54;0;5;130;65,6;1;33;0;4;m
36;1;8;78;39,1;2;16;0;3;f
57;0;13;1070;79,6;3;36;0;4;f
41;0;16;42;21,5;1;21;0;5;m
31;1;3;45;22,1;3;1;0;2;m
39;1;7;93;46,4;4;12;0;3;f
54;0;23;151;77,5;4;18;0;4;m
49;0;20;104;50,4;3;17;0;4;f
54;1;31;120;60,1;1;26;0;4;m
36;1;5;33;16,3;3;3;0;1;f
53;1;29;111;54,6;4;19;0;4;m
60;1;8;9;4,4;3;0;1;2;m
29;1;9;29;14,5;1;10;0;3;f
50;1;0;24;12,4;1;9;0;2;f
62;1;7;50;23,6;2;8;0;3;m
44;0;16;100;48,7;1;20;0;5;m
65;1;35;235;77,1;1;40;0;3;f
56;0;23;210;75,8;1;32;0;5;f
32;1;2;40;20,5;4;2;0;1;f
40;0;1;86;42,2;4;12;0;2;m
20;1;0;19;9,5;2;0;0;1;f
59;1;1;16;8,1;2;18;1;5;m
58;0;7;10;5;2;32;1;4;m
37;1;2;75;38,1;5;3;0;1;f
52;0;1;123;60,8;2;30;0;5;f
29;1;3;43;22,2;2;8;0;5;m
48;1;18;27;13,1;2;2;0;2;m
25;0;3;21;10,8;1;4;0;5;f
35;0;7;152;75,2;4;3;0;3;m
28;1;1;91;46,3;5;1;0;4;f
42;1;14;61;30,3;5;9;0;4;m
53;1;1;117;58,5;1;32;0;5;m
67;1;16;10;5;1;2;1;3;m
31;1;7;95;47;3;8;0;4;f
43;0;13;67;33,2;1;17;0;2;m
60;1;24;60;29,3;2;20;0;4;m
41;0;18;198;98,6;4;9;0;4;m
62;1;6;63;31,6;4;13;0;4;m
37;0;7;28;13,9;1;2;0;1;f
37;0;6;46;24,1;4;8;0;3;f
19;1;0;20;10,3;2;0;0;3;f
63;1;34;69;34,4;1;21;0;5;m
41;0;15;69;34,5;3;15;0;2;f
59;1;40;57;29,3;1;3;0;3;f
70;0;26;9;4,6;2;5;1;2;m
44;1;8;48;23,2;3;7;0;3;m
53;0;13;129;64,7;1;26;0;4;f
37;1;7;40;19,6;1;11;0;3;f
64;1;43;15;7,4;2;6;1;3;f
56;1;7;86;42,5;1;29;0;4;m
31;1;3;42;20,6;1;13;0;2;m
29;1;10;29;14,3;3;1;0;2;m
51;1;23;77;38,5;3;0;0;1;f
25;1;2;22;11,2;1;5;0;3;f
44;1;3;139;70,3;4;14;0;5;m
35;0;14;35;17,4;2;4;0;4;f
29;0;0;30;14,9;3;7;0;3;m
60;1;8;114;57,2;4;27;0;3;m
49;1;28;38;18,7;4;0;0;1;f
21;0;2;28;13,6;3;0;0;3;m
63;0;6;11;5,4;2;17;1;4;f
20;0;1;18;9,1;3;0;0;1;m
33;0;11;36;17,3;1;10;0;1;f
61;0;28;24;11,8;1;1;0;1;m
53;1;32;34;16,5;3;12;0;3;f
35;0;1;47;23,9;3;14;0;5;m
46;0;2;49;23,9;1;22;0;4;f
23;0;1;19;9,3;1;0;0;2;f
47;0;12;57;29,5;2;6;0;2;f
49;1;29;86;43,3;2;2;0;4;f
43;0;6;101;49,4;4;1;0;1;f
64;0;3;11;5,6;4;31;1;4;f
53;1;19;227;76,3;2;28;0;5;m
32;1;5;18;9;2;3;0;3;f
28;1;9;43;21;4;2;0;3;f
25;1;6;26;12,9;4;1;0;1;f
31;1;11;25;12,4;5;2;0;2;m
46;0;6;77;37,6;3;16;0;4;f
34;1;14;31;15,8;1;9;0;1;f
26;1;1;23;11,7;1;10;0;3;f
42;1;23;41;21,2;1;12;0;4;m
58;1;29;496;78,6;3;34;0;5;f
55;0;29;89;43,8;4;19;0;3;m
63;1;26;91;45;2;22;0;3;f
59;1;11;141;70;1;23;0;5;m
43;1;14;54;27;2;12;0;4;m
41;0;10;27;14,1;1;3;0;2;f
34;1;13;33;17;3;3;0;3;m
19;0;0;16;8;2;0;0;1;f
27;0;5;26;12,8;1;9;0;2;m
38;0;2;43;21,9;3;5;0;4;m
59;0;10;39;19,1;3;1;0;3;m
21;1;2;19;9,6;3;0;0;2;m
36;1;16;40;20,3;2;13;0;4;m
43;1;6;34;17,1;2;6;0;5;m
41;1;22;24;11,9;1;5;0;3;f
52;0;28;27;13,2;2;2;0;4;m
25;1;4;26;12,8;2;4;0;5;m
24;1;4;24;11,9;3;1;0;1;m
32;0;0;59;29,2;2;8;0;3;m
60;1;15;372;79,3;1;44;0;4;m
54;0;0;31;15,2;5;16;0;2;f
35;0;11;26;12,8;2;2;0;1;m
46;1;23;60;28,7;1;14;0;5;m
25;1;6;31;15,4;2;3;0;2;m
34;1;8;24;12,3;2;2;0;1;m
30;0;8;37;18,7;1;10;0;4;m
24;1;3;27;13,5;4;0;0;2;f
34;1;15;36;17,6;3;0;0;1;m
59;1;34;250;80,2;3;34;0;5;m
38;1;18;86;43,5;3;17;0;4;m
36;1;13;29;14,5;3;3;0;3;f
33;1;13;22;11,3;2;10;0;4;f
34;1;10;29;14,5;5;4;0;2;f
57;0;9;525;83,6;3;34;0;5;f
36;0;5;46;23,4;4;5;0;4;m
39;1;14;41;20,4;3;0;0;1;f
26;1;0;34;16,9;3;2;0;3;m
42;1;3;52;25,4;3;15;0;5;m
33;0;6;121;60,8;4;8;0;4;m
42;0;5;33;16,4;3;0;0;1;f
46;0;0;35;17,6;4;6;0;2;f
28;1;9;25;11,9;5;1;0;3;f
40;0;16;36;17,9;3;3;0;2;f
47;1;23;35;17,5;2;2;0;4;m
25;1;1;28;13,6;2;5;0;2;f
30;0;9;21;10,1;5;1;0;2;m
57;0;20;148;72,8;5;16;0;4;f
23;1;0;36;18;4;0;0;2;m
23;0;0;13;6,4;3;1;0;4;m
38;1;0;34;16,8;4;11;0;3;f
37;0;8;39;19,8;2;5;0;2;m
47;0;7;19;9,5;1;2;0;1;f
20;1;0;37;18,5;3;0;0;1;f
19;1;0;14;7,2;1;0;0;1;m
26;0;2;22;10,7;1;7;0;3;m
25;0;1;95;46,1;4;2;0;1;f
39;0;19;31;15,6;4;15;0;4;m
31;1;5;26;13;5;2;0;2;f
37;0;13;31;15,4;1;5;0;4;m
44;1;19;24;12,2;5;12;0;2;m
43;0;6;73;37;3;19;0;4;f
50;0;31;35;17,4;1;11;0;3;m
45;0;23;16;7,9;1;1;0;1;m
62;1;10;99;46,8;3;33;0;5;m
51;1;14;36;18,3;2;4;0;5;m
34;0;14;66;32;2;14;0;4;m
47;0;7;121;59,7;2;22;0;2;f
49;1;7;66;32,6;4;13;0;3;f
40;0;16;61;30,5;1;17;0;4;f
37;1;9;88;43,1;3;6;0;3;f
32;1;6;30;15,1;3;0;0;1;m
57;1;2;19;9,5;1;25;1;1;m
26;0;6;16;7,9;1;5;0;4;f
36;0;0;37;18,5;3;0;0;1;m
29;1;8;93;46,9;4;0;0;1;f
22;1;1;35;17,5;4;0;0;1;f
28;1;3;15;7,4;3;0;0;1;m
44;0;15;46;22,1;2;11;0;2;m
21;1;1;14;7;1;2;0;3;m
39;0;16;28;14,1;2;7;0;3;f
43;1;15;22;11,1;2;4;0;4;m
30;1;6;39;19,4;4;6;0;3;m
35;1;3;21;10,1;1;6;0;1;f
54;1;9;236;76,9;3;25;0;4;m
48;1;25;173;86,2;4;22;0;4;m
30;0;3;46;22,2;4;0;0;2;m
34;0;1;62;30,7;2;9;0;5;f
58;1;30;125;61,9;1;34;0;4;f
62;0;13;35;17,4;1;14;0;2;m
39;0;2;49;24,7;1;18;0;5;m
60;1;3;109;53,9;1;28;0;4;m
64;0;43;106;53,1;2;22;0;5;f
43;1;8;52;25,4;4;14;0;4;m
42;1;17;23;11,2;1;0;0;2;f
19;0;0;34;17,1;2;0;0;2;m
37;1;10;29;14,7;3;5;0;3;f
57;1;32;25;12,9;1;10;0;4;m
57;1;8;21;10,7;1;3;0;4;m
23;1;2;18;9;1;3;0;4;m
39;0;9;53;24,6;2;7;0;3;f
35;0;13;34;17,2;2;6;0;3;f
34;1;6;54;25,9;4;7;0;4;f
46;0;15;174;87,5;1;28;0;5;f
48;1;8;139;69,5;2;28;0;5;m
37;0;0;32;16,1;1;11;0;2;f
28;0;5;32;15,5;1;12;0;3;m
26;1;1;17;8,5;4;1;0;1;f
62;1;3;81;41,2;3;23;1;5;m
63;1;23;94;46,4;2;38;0;5;m
32;1;6;29;14,1;1;5;0;4;m
49;0;19;170;85,3;2;12;0;3;m
49;1;10;23;10,7;1;3;0;2;m
22;0;1;26;13;3;1;0;1;f
53;1;12;77;38,9;1;24;0;3;m
34;1;9;107;52,6;2;11;0;5;f
52;1;0;184;91,5;3;25;0;5;f
43;0;23;18;9;4;3;0;3;f
40;1;20;31;15,4;1;4;0;3;m
52;0;19;23;11,2;2;2;0;1;m
56;0;36;128;63,8;3;25;0;3;m
48;1;17;96;46,2;2;23;0;4;f
38;0;7;21;10,8;2;5;0;3;m
34;1;0;38;18,7;4;0;0;3;f
46;1;2;60;28,8;2;8;0;2;m
60;0;22;34;16,7;3;2;0;3;m
31;0;4;32;16,3;2;5;0;1;m
30;1;9;34;17;2;9;0;5;m
41;0;17;67;33,1;1;16;0;5;f
49;1;25;47;23,5;2;0;0;4;f
27;1;3;34;16,5;2;7;0;3;f
25;1;5;25;12,4;3;0;0;1;f
